Total mosquitoes,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,
,,April,May,June,July,August,September,October,November,December,Sum,,,April,May,June,July,August,September,October,November,December,,,,,,,,,
Indoor,Krekrelo,0,0,0,61,88,88,2,0,0,0,,Indoor ATSB,0.00,1.86,1.86,134.86,157.57,160.86,61.00,9.29,5.71,,,,,,,,,
,Sirakele,0,0,0,148,103,103,18,1,0,0,,Indoor control,0.00,1.14,1.14,122.86,177.29,178.29,34.43,1.29,0.14,,,,,,,,,
,Trekourou,0,13,13,0,0,0,224,53,37,0,,Outdoor ATSB,0.00,3.14,4.86,239.29,297.00,297.86,114.86,15.43,9.86,,,,,,,,,
,Farabale,0,0,0,132,151,151,7,0,0,0,,Outdoor control,0.00,4.57,9.86,213.29,314.57,321.57,64.43,3.14,0.71,,,,,,,,,
,Kignele,0,0,0,174,267,290,65,6,1,0,,,,,,,,,,,,,,,,,,,,
,Tiko,0,0,0,132,148,148,57,0,0,0,,average log,,,,,,,,,,,,,,,,,,
,Sambadani,0,0,0,297,346,346,54,5,2,0,,,April,May,June,July,August,September,October,November,December,,,,,,,,,
,Balandougou,0,0,0,78,59,59,12,1,0,0,,Indoor ATSB,,2.56,2.56,4.95,5.09,5.11,3.31,1.84,1.43,,,,,,,,,
,Madina,0,0,0,96,84,84,75,0,0,0,,Indoor control,,0.97,0.97,5.03,5.07,5.08,3.02,0.65,0.00,,,,,,,,,
,Korea,0,1,1,174,180,187,6,0,0,0,,Outdoor ATSB,,3.09,3.53,5.57,5.62,5.61,4.01,2.13,1.76,,,,,,,,,
,Balala,0,0,0,0,124,124,38,0,0,0,,Outdoor control,,1.48,3.06,5.39,5.62,5.65,3.63,1.34,0.90,,,,,,,,,
,Cissebougou,0,7,7,274,311,311,4,0,0,0,,,,,,,,,,,,,,,,,,,,
,Nianganabougou,0,0,0,238,483,483,23,7,1,0,,exp(average log),,,,,,,,,,,,,,,,,,
,Trekourouba,0,0,0,0,0,0,83,1,0,0,,,April,May,June,July,August,September,October,November,December,,,,,,,,,
,,April,May,June,July,August,September,October,November,December,Sum,,Indoor ATSB,,13.00,13.00,141.80,162.94,165.20,27.30,6.31,4.20,,,,,,,,,
Outdoor,Krekrelo,0,0,0,122,185,168,6,0,0,0,,Indoor control,,2.65,2.65,153.41,159.74,160.76,20.59,1.91,1.00,,,,,,,,,
,Sirakele,0,0,0,265,253,233,32,1,0,0,,Outdoor ATSB,,22.00,34.00,261.31,276.88,273.53,55.28,8.40,5.80,,,,,,,,,
,Trekourou,0,22,34,0,150,150,374,92,65,0,,Outdoor control,,4.38,21.34,219.54,275.41,284.97,37.62,3.83,2.45,,,,,,,,,
,Farabale,0,0,0,282,301,300,11,0,0,0,,,,,,,,,,,,,,,,,,,,
,Kignele,0,0,0,277,417,440,117,6,1,0,,,"Totals - ordered by ""in"" values",,,,,,,,,,,,,,,,,
,Tiko,0,0,0,282,298,298,113,0,0,0,,Village,ASBin,ASBout,Conin,Conout,,,,,,,,,,,,,,
,Sambadani,0,0,0,447,475,496,151,9,3,0,,1,,,,,,,,,,,,,,,,,,
,Balandougou,0,0,0,124,146,161,14,1,0,0,,2,,,,,,,,,,,,,,,,,,
,Madina,0,0,0,168,208,234,98,0,0,0,,3,,,,,,,,,,,,,,,,,,
,Korea,0,1,15,265,330,337,8,0,0,0,,4,,,,,,,,,,,,,,,,,,
,Balala,0,0,0,123,274,274,89,0,0,0,,5,,,,,,,,,,,,,,,,,,
,Cissebougou,0,28,36,425,461,462,11,6,0,0,,6,,,,,,,,,,,,,,,,,,
,Nianganabougou,0,3,18,388,633,633,57,12,2,0,,7,,,,,,,,,,,,,,,,,,
,Trekourouba,0,0,0,0,150,150,174,3,3,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log (total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,April,May,Jun,Jul,August,September,October,November,December,Sum,,,,,,,,,,,,,,,,,,,,
Indoor,Krekrelo,,,,4.11,4.48,4.48,0.69,,,,,,,,,,,,,,,,,,,,,,,
,Sirakele,,,,5.00,4.63,4.63,2.89,0.00,,,,,,,,,,,,,,,,,,,,,,
,Trekourou,,2.56,2.56,,,,5.41,3.97,3.61,,,,,,,,,,,,,,,,,,,,,
,Farabale,,,,4.88,5.02,5.02,1.95,,,,,,,,,,,,,,,,,,,,,,,
,Kignele,,,,5.16,5.59,5.67,4.17,1.79,0.00,,,,,,,,,,,,,,,,,,,,,
,Tiko,,,,4.88,5.00,5.00,4.04,,,,,,,,,,,,,,,,,,,,,,,
,Sambadani,,,,5.69,5.85,5.85,3.99,1.61,0.69,,,,,,,,,,,,,,,,,,,,,
,Balandougou,,,,4.36,4.08,4.08,2.48,0.00,,,,,,,,,,,,,,,,,,,,,,
,Madina,,,,4.56,4.43,4.43,4.32,,,,,,,,,,,,,,,,,,,,,,,
,Korea,,0.00,0.00,5.16,5.19,5.23,1.79,,,,,,,,,,,,,,,,,,,,,,,
,Balala,,,,,4.82,4.82,3.64,,,,,,,,,,,,,,,,,,,,,,,
,Cissebougou,,1.95,1.95,5.61,5.74,5.74,1.39,,,,,,,,,,,,,,,,,,,,,,,
,Nianganabougou,,,,5.47,6.18,6.18,3.14,1.95,0.00,,,,,,,,,,,,,,,,,,,,,
,Trekourouba,,,,,,,4.42,0.00,,,,,,,,,,,,,,,,,,,,,,
,,April,May,Jun,Jul,August,September,October,November,December,Sum,,,,,,,,,,,,,,,,,,,,
Outdoor,Krekrelo,,,,4.80,5.22,5.12,1.79,,,,,,,,,,,,,,,,,,,,,,,
,Sirakele,,,,5.58,5.53,5.45,3.47,0.00,,,,,,,,,,,,,,,,,,,,,,
,Trekourou,,3.09,3.53,,5.01,5.01,5.92,4.52,4.17,,,,,,,,,,,,,,,,,,,,,
,Farabale,,,,5.64,5.71,5.70,2.40,,,,,,,,,,,,,,,,,,,,,,,
,Kignele,,,,5.62,6.03,6.09,4.76,1.79,0.00,,,,,,,,,,,,,,,,,,,,,
,Tiko,,,,5.64,5.70,5.70,4.73,,,,,,,,,,,,,,,,,,,,,,,
,Sambadani,,,,6.10,6.16,6.21,5.02,2.20,1.10,,,,,,,,,,,,,,,,,,,,,
,Balandougou,,,,4.82,4.98,5.08,2.64,0.00,,,,,,,,,,,,,,,,,,,,,,
,Madina,,,,5.12,5.34,5.46,4.58,,,,,,,,,,,,,,,,,,,,,,,
,Korea,,0.00,2.71,5.58,5.80,5.82,2.08,,,,,,,,,,,,,,,,,,,,,,,
,Balala,,,,4.81,5.61,5.61,4.49,,,,,,,,,,,,,,,,,,,,,,,
,Cissebougou,,3.33,3.58,6.05,6.13,6.14,2.40,1.79,,,,,,,,,,,,,,,,,,,,,,
,Nianganabougou,,1.10,2.89,5.96,6.45,6.45,4.04,2.48,0.69,,,,,,,,,,,,,,,,,,,,,
,Trekourouba,,,,,5.01,5.01,5.16,1.10,1.10,,,,,,,,,,,,,,,,,,,,,