cluster,no_rdt_tested,rdt_prevalence,llin_posession,llin_1_2,net_use,irs,non-response,n_hh,n_struct,struct_per_hec_unweight,struct_per_hec_weight,baseline_ento,mean_elev,hf_in_cluster,dist_to_hf
C2,18,44.44,72.22,16.67,32.14,55.56,0.25,330,528,2.64,4.121041571,1,1113,0,6236.423007
C4,20,70,75,5,30.56,50,0.17,360,436,3.75862069,5.723359421,1,1103,1,418.370407
C5,18,44.44,88.89,44.44,39.73,44.44,0.25,366,456,3.01986755,4.960218427,0,1096,0,8032.796999
C6,17,58.82,76.47,11.76,27.03,58.82,0.29,394,583,5.348623853,7.839316948,0,1120,1,1338.066533
C7,15,66.67,60,0,39.66,66.67,0.38,276,352,4,6.75862069,1,1125,0,2528.275445
C8,20,45,100,55,77,20,0.17,480,579,2.824390244,4.528172966,0,1096,1,1119.399961
C10,21,66.67,100,57.14,74.75,4.76,0.13,327,542,3.245508982,6.458352978,1,1110,1,4562.998347
C11,24,66.67,20.83,16.67,15.56,16.67,0,279,496,2.770949721,4.055563711,0,1097,0,6864.079123
C12,21,42.86,23.81,4.76,18.52,25,0.13,262,386,4.337078652,7.376115392,0,1093,1,668.0648749
C13,23,52.17,30.43,13.04,32.61,21.74,0.04,300,405,2.872340426,4.299007092,0,1102,0,5688.596676
C14,20,35,15,5,7.55,10,0.17,251,391,3.258333333,5.272539527,0,1135,0,8880.44891
C17,24,41.67,87.5,75,91.3,41.67,0,358,462,2.40625,3.542715629,1,1133,1,856.1939855
C18,23,60.87,78.26,56.52,71.21,8.7,0.04,269,371,3.637254902,5.781126162,0,1143,0,9622.333573
C19,19,63.16,52.63,42.11,52.54,47.37,0.21,423,657,3.173913043,4.877331051,1,1116,1,4463.604371
C20,19,52.63,26.32,5.26,23.19,31.58,0.21,396,681,5.279069767,8.810044437,1,1102,0,1234.823936
C21,18,72.22,27.78,22.22,15.22,5.56,0.25,303,429,3.698275862,6.332734157,0,1103,0,5567.441957
C22,23,47.83,62.5,20.83,37.04,83.33,0.04,340,402,6.813559322,10.67742963,0,1119,0,2988.556861
C23,24,37.5,36,24,17.33,80,0,435,627,2.824324324,4.526006543,1,1137,0,6404.884403
C24,20,65,25,15,11.59,75,0.17,313,427,4.313131313,7.297120225,0,1164,0,11799.48215
C25,16,37.5,55.56,16.67,44.05,62.5,0.33,302,416,2.810810811,4.182344039,1,1154,1,2398.371448
C26,19,36.84,52.63,15.79,28.05,72.22,0.21,257,452,3.228571429,5.101876324,1,1163,0,3749.26388
C27,21,38.1,52.38,33.33,45.16,47.62,0.13,303,389,3.382608696,5.449852641,1,1130,0,6535.827666
C28,24,29.17,70.83,41.67,39.47,37.5,0,486,650,4.452054795,7.903641001,0,1110,0,2148.863369
C29,17,23.53,41.18,11.76,25.37,43.75,0.29,641,1021,5.402116402,8.904919245,1,1108,1,1184.361052
C30,20,55,30,20,15.69,70,0.17,380,522,4.423728814,7.033611906,0,1122,0,8956.310449
C33,23,65.22,17.39,13.04,8.51,13.04,0.04,349,527,3.046242775,5.018993315,0,1140,0,9948.908253
C34,16,62.5,85.71,21.43,38.24,84.62,0.33,294,402,2.913043478,4.443929196,0,1150,0,11897.02725
C35,24,62.5,36,28,22.22,12,0,306,411,2.634615385,4.212058285,0,1160,0,16739.72032
C36,17,70.59,94.12,52.94,64.29,29.41,0.29,369,600,2.21402214,3.471306091,0,1169,0,11920.86472
C37,16,43.75,78.57,28.57,50.5,14.29,0.33,325,430,2.471264368,3.372622077,0,1129,0,5939.521748
C38,20,40,63.16,5.26,30,52.63,0.17,330,458,2.462365591,3.643906958,1,1150,1,3542.110213
C39,23,65.22,47.83,26.09,27.63,61.9,0.04,378,592,4.13986014,6.622087966,0,1158,0,3347.880767
C40,17,52.94,100,70.59,83.52,23.53,0.29,276,417,2.291208791,3.486182094,1,1186,0,5821.300495
C41,12,33.33,81.82,54.55,42.86,45.45,0.5,258,496,2.384615385,4.080735067,0,1163,1,478.2115212
C42,14,57.14,85.71,28.57,59.68,50,0.42,218,303,3.12371134,5.312999019,0,1167,0,2358.721718
C43,22,59.09,95.24,66.67,76.84,0,0.08,435,686,4.543046358,7.339217397,0,1144,1,1446.990865
C44,21,38.1,71.43,33.33,57.14,0,0.13,715,858,4.714285714,7.488436057,0,1174,0,2145.278869
C45,20,60,95,60,86.17,0,0.17,522,736,3.471698113,5.108263125,0,1159,0,2828.404507
C46,16,68.75,93.75,50,84.62,37.5,0.33,391,666,2.729508197,4.590208403,0,1183,0,4659.814411
C47,19,42.11,100,73.68,89.01,0,0.21,310,520,3.795620438,6.368782203,0,1168,0,3192.510377
C48,20,70,52.38,23.81,29.11,28.57,0.17,254,411,3.161538462,5.396756025,0,1154,0,12615.97838
C49,21,66.67,18.18,9.09,10.96,81.82,0.13,263,313,2.698275862,4.117667444,0,1126,0,15752.4133
C50,19,42.11,73.68,42.11,65.45,63.16,0.21,325,414,2.723684211,4.212694672,0,1172,0,5093.508337
C51,20,60,80,55,81.69,25,0.17,326,608,2.801843318,4.702839298,1,1161,0,7246.232855
C55,16,50,94.44,61.11,80.88,16.67,0.33,296,413,2.848275862,4.93692262,0,1179,1,1053.505395
C56,23,60.87,73.91,52.17,70.59,30.43,0.04,376,627,3.248704663,5.624751314,1,1178,0,6295.362485
C57,12,66.67,75,33.33,60.42,91.67,0.5,320,548,2.824742268,4.295904478,0,1161,0,8627.589024
C58,15,66.67,73.33,20,47.06,86.67,0.38,246,433,3.137681159,4.88797195,0,1164,0,1734.573631
C59,14,35.71,92.86,50,59.26,100,0.42,179,425,2.891156463,5.023920363,1,1158,1,3680.930233
C60,20,45,80,45,72.86,25,0.17,306,419,2.756578947,4.505539734,0,1192,0,6666.128635
C61,18,61.11,94.74,68.42,89.39,42.11,0.25,283,526,2.79787234,4.338995945,0,1184,1,348.980219
C62,23,52.17,58.33,29.17,34.78,83.33,0.04,331,727,4.154285714,6.667732567,0,1166,0,5510.107843
C63,18,77.78,44.44,27.78,40.82,77.78,0.25,305,437,2.952702703,4.797360932,0,1153,0,7373.704666
C64,16,43.75,81.25,43.75,58.73,93.75,0.33,369,661,3.407216495,5.86592641,0,1160,0,5978.580726
C65,22,40.91,71.43,28.57,50.43,61.9,0.08,255,486,3.176470588,5.024423805,0,1185,0,7400.600897
C67,24,41.67,85,35,44.63,60,0,185,470,3.821138211,6.395397018,1,1152,1,1396.643342
C68,20,25,68.42,47.37,52.31,57.89,0.17,338,749,3.082304527,5.206337673,0,1183,1,1444.724094
C69,19,57.89,47.37,36.84,37.21,73.68,0.21,233,366,3.238938053,4.723520411,1,1178,0,6317.538093
C70,16,50,64.71,41.18,47.54,35.29,0.33,247,640,3.67816092,6.224006295,0,1166,0,3413.205285
C71,15,66.67,93.33,80,92.73,46.67,0.38,283,608,3.494252874,5.81266632,1,1150,0,8156.785678
C73,19,42.11,94.74,73.68,83.33,42.11,0.21,345,941,3.421818182,5.639306954,0,1181,0,6474.03793
C74,20,25,100,85,100,40,0.17,450,790,2.862318841,4.7028712,1,1158,0,4609.908947
C75,20,45,95,60,93.42,5.26,0.17,256,605,2.922705314,4.508487228,0,1167,0,7431.897058
C77,17,41.18,88.24,64.71,78.13,17.65,0.29,239,540,3.354037267,5.03637523,0,1169,1,639.9937301
C78,17,47.06,94.12,76.47,88.33,52.94,0.29,363,642,2.663900415,4.265211422,1,1176,0,3583.555771
C79,16,43.75,93.75,75,80,6.25,0.33,398,683,2.596958175,5.085597206,1,1181,0,10385.83888
C80,16,62.5,87.5,62.5,70.59,33.33,0.33,446,812,3.741935484,5.636810963,1,1186,0,3826.641398
C83,18,61.11,100,47.37,77.91,10.53,0.25,254,371,2.921259843,4.505737659,0,1157,0,7509.561132
C84,19,42.11,42.11,21.05,22.22,50,0.21,436,572,4.576,7.491858335,0,1118,1,1517.532506
C85,21,71.43,80.95,38.1,68.04,0,0.13,253,428,2.911564626,4.369732594,0,1134,0,4665.752027
